Site,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Bottom Substrate,Cover Score,Total,devel,grass,crop,wetland,forest,MU,Discharge1,Discharge2,Discharge3,Discharge4,Discharge5,Discharge6,Discharge7,Discharge8,Discharge9,Discharge10,Discharge11,Discharge12,Discharge13,Discharge14,Discharge15,Discharge16,Discharge17,Discharge18,Discharge19,Discharge20,Bait1,Bait2,Bait3,Bait4,Bait5,Bait6,Bait7,Bait8,Bait9,Bait10,Bait11,Bait12,Bait13,Bait14,Bait15,Bait16,Bait17,Bait18,Bait19,Bait20
1,0,0,1,0,,,,,0,0,0,0,,,,,,,,,12,20,86,0.0424172,0.0494399,0.0116103,0.0092815,0.860074,FE,314.6314712,230.2874925,174.3740684,141.205088,199.9615676,161.1064762,166.7925872,173.4263832,285.2532315,235.9736034,166.7925872,134.5712919,37.71786914,146.8911989,113.7222185,68.61240518,83.20675655,104.245367,71.8345347,60.84138691,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,10,16,68,0.0287273,0.0345498,0.0080768,0.0061702,0.9039538,FE,323.9483516,237.1067754,179.5376406,145.386459,205.8828379,165.877168,171.7316563,178.5618926,293.7001621,242.9612637,171.7316563,138.5562227,38.83477227,151.2409473,117.0897656,70.6441586,85.67067852,107.3322852,73.96170196,62.64302462,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
3,,,,,,,,,0,0,0,0,0,0,0,0,,,,,12,16,63,0.2538389,0.01657,0.0000138,0,0.5025928,FE,471.6143073,309.0578865,221.7590679,174.5976372,253.8689782,210.7212863,204.7006781,219.7521985,363.2433601,303.0372783,221.7590679,173.5942025,3.60233056,49.26864359,103.3537737,55.79096912,73.55176325,107.3675125,85.09126226,67.4308116,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
4,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,0,12,16,77,0.3344427,0.018808,0,0.0816103,0.4801605,FE,228.55932,170.361345,143.90772,128.035545,177.76836,159.779895,172.477635,167.18691,781.969155,417.967275,293.106165,238.082625,70.260828,132.268125,106.872645,80.5248345,87.2969625,90.153954,74.493408,71.530602,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
5,,,,,,,,,0,0,0,0,0,0,0,0,,,,,15,18,71,0.136454,0.091254,0.00162,0.0000006,0.7527776,FE,371.2643084,276.729415,233.759009,207.9767653,288.7611287,259.5412526,280.1670475,271.5729663,1270.205203,678.9324158,476.1120992,386.7336545,114.1293985,214.8520303,173.6004405,130.801916,56.54905438,48.98626291,38.50148383,51.7363689,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
6,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,15,20,88,0.1513015,0.1006758,0.001838,0.0000007,0.7263274,FE,326.1611193,243.1108343,205.3607047,182.710627,253.6808705,228.0107825,246.1308446,238.5808187,1115.893829,596.4520468,418.2714354,339.7511659,100.2643441,188.7506477,152.5105234,114.9113943,49.67917048,43.03514768,33.82411607,45.45115597,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,15,16,76,0.1321075,0.0846567,0.0013737,0.0000005,0.764901,FE,394.7097796,294.2049746,248.5209724,221.110571,306.9964953,275.9313737,297.8596948,288.7228944,1350.419107,721.8072359,506.1787452,411.1560205,121.33671,228.4200114,184.5633692,139.0621029,60.12014699,52.07976259,40.93286604,55.00353874,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
8,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,15,16,68,0.1432296,0.0784666,0.0012622,0.0000005,0.7601907,FE,408.8184578,304.7211653,257.4042142,229.0140435,317.9699116,285.7943849,308.5065214,299.0431312,1398.689076,747.607828,524.2718186,425.8525602,125.6738222,236.5847557,191.1604826,144.0327993,62.2691077,53.9413243,42.39598822,56.96960917,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
9,,,,,0,0,0,0,0,0,0,0,,,,,,,,,8,16,69,0.5938087,0.0082071,0,0.0792059,0.3171118,SM,122.6585096,123.2453925,48.94602729,25.47071444,22.71236518,19.42582138,15.08288851,11.73765642,156.1108304,61.62269623,32.10249032,21.24515813,11.56159158,10.85733219,10.68126735,10.09438453,29.8723356,26.93792149,20.48221046,17.48910807,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
10,,,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,3,15,65,0.2507736,0.1021943,0.0557247,0.1950365,0.3931751,SM,404.9714467,419.4075771,293.2813854,139.0427294,107.8910796,91.93535657,74.5360205,64.73464777,540.9749908,324.4330352,152.7190634,123.0870063,45.89169865,45.66375975,47.25933206,47.79118949,133.724155,104.0920979,72.48457039,60.32782903,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
