TQ,DI
0.216438356,2
0.216438356,2
0.21369863,2
0.180821918,2
0.232876712,2
0.232876712,2
0.232876712,2
0.232876712,2
0.216438356,2
0.232876712,2
0.183561644,2
0.347945205,2
0.24109589,1
0.24109589,1
0.232876712,1
0.232876712,1
0.24109589,1
0.347945205,1
0.232876712,1
0.347945205,2
0.189041096,2
0.347945205,2
0.21369863,2
0.21369863,2
0.238356164,2
0.238356164,2
0.238356164,2
0.287671233,2
0.282191781,2
0.21369863,2
0.169863014,2
0.169863014,2
0.169863014,2
0.169863014,2
0.169863014,2
0.169863014,2
0.169863014,2
0.169863014,2
0.169863014,2
0.169863014,2
0.169863014,2
0.287671233,2
0.282191781,2
0.282191781,2
0.287671233,2
0.21369863,1
0.37260274,1
0.37260274,1
0.284931507,1
0.284931507,1
0.284931507,1
0.238356164,1
0.238356164,1
0.238356164,2
0.301369863,1
0.287671233,1
0.282191781,1
0.287671233,1
0.282191781,2
0.263013699,2
0.263013699,2
0.263013699,2
0.287671233,2
0.282191781,2
0.287671233,2
0.287671233,2
0.287671233,1
0.364383562,1
0.290410959,1
0.290410959,1
0.364383562,1
0.364383562,1
0.24109589,1
0.24109589,1
0.24109589,1
0.24109589,1
0.21369863,1
0.21369863,1
0.21369863,1
0.347945205,1
0.364383562,1
0.290410959,1
0.290410959,1
0.290410959,1
0.290410959,1
0.290410959,1
0.290410959,1
0.290410959,1
0.290410959,1
0.290410959,1
0.290410959,1
0.290410959,1
0.37260274,1
0.301369863,1
0.301369863,1
0.301369863,1
0.301369863,1
0.301369863,1
0.301369863,1
0.301369863,1
0.301369863,1
0.37260274,1
0.115068493,1
0.115068493,1
0.115068493,1
0.115068493,1
0.115068493,1
0.115068493,1
0.115068493,1
0.115068493,1
0.115068493,1
0.115068493,1
0.35890411,1
0.35890411,1
0.21369863,1
0.21369863,1
0.21369863,1
0.21369863,1
0.347945205,1
0.232876712,2
0.230136986,2
0.216438356,2
0.290410959,2
0.263013699,2
0.24109589,1
0.232876712,2
0.301369863,1
0.301369863,1
0.232876712,2
0.232876712,2
0.180821918,2
0.208219178,2
0.24109589,1
0.232876712,2
0.232876712,2
0.115068493,1
0.263013699,2
0.21369863,1
0.216438356,2
0.290410959,1
